year,forest_loss,rli,risk,forest_loss_norm
2001,13227583.0,0.8,0.19999999999999996,0.0
2002,16346752.0,0.79,0.20999999999999996,0.1903925518123211
2003,14404470.0,0.79,0.20999999999999996,0.07183660748255292
2004,19794442.0,0.79,0.20999999999999996,0.40083786495752777
2005,17999578.0,0.78,0.21999999999999997,0.29128024332302516
2006,17552784.0,0.78,0.21999999999999997,0.2640081558553586
2007,18287306.0,0.78,0.21999999999999997,0.30884301986634666
2008,18508078.0,0.77,0.22999999999999998,0.3223188348826891
2009,16885732.0,0.77,0.22999999999999998,0.22329162768022207
2010,18435864.0,0.77,0.22999999999999998,0.31791092760463685
2011,17471200.0,0.77,0.22999999999999998,0.25902830835525315
2012,23327932.0,0.76,0.24,0.6165203681830081
2013,20515552.0,0.76,0.24,0.44485406704128244
2014,23616708.0,0.76,0.24,0.6341471141343031
2015,19571718.0,0.75,0.25,0.3872429008148836
2016,29610414.0,0.75,0.25,1.0
2017,29308080.0,0.74,0.26,0.9815456803528035
2018,24710662.0,0.74,0.26,0.7009215318158382
2019,24135086.0,0.74,0.26,0.6657886539878242
2020,25756608.0,0.73,0.27,0.7647655646328769
2021,25229724.0,0.73,0.27,0.732604822695174
2022,22774828.0,0.73,0.27,0.5827591702557391
2023,28231408.0,0.73,0.27,0.9158261475077171
